,Date,XCEM,INCO,INXX,SCIN,AFTY,CNHX,YANG,YINN,CHAD,CHAU,EDZ,EDC,INDL,EMQQ,FCA,FEM,FEMS,NFTY,FNI,ASEA,CHIC,CHIQ,CHIE,CHIX,CHII,CHIM,ADRE,YAO,HAO,CQQQ,PIE,PGJ,PIN,FXI,AXJV,EEMV,EMGF,INDY,AAXJ,MCHI,ECNS,EEMA,EEM,INDA,SMIN,EIDO,EWM,EPHE,THD,AIA,KBA,KFYP,KWEB,KALL,YXI,XPP,EET,FXP,EUM,XINA,SPEM,GXC,GMF,EDIV,EWX,EEV,PEK,CNXT,SCIF,IDX,VNM,VWO,CXSE,DGRE,DEM,DGS,EPI,ASHX,ASHR,ASHS,CN,DBEM
311,2017-03-28,22.695934,38.144131,12.573136,18.061621,12.934666,26.190001000000002,1136.837036,20.794179999999997,39.159092,19.389874,417.072479,75.691742,69.901108,27.730389000000002,21.687746,21.85067,34.031013,,30.591046999999996,13.545974,23.18,13.071703,10.182704,13.743912,13.612264999999999,15.697754999999999,35.49419,26.651978999999997,22.930508,41.595673,15.935932000000001,33.158028,22.202795000000002,38.123096000000004,30.447412,51.399165999999994,39.095085,31.820991999999997,60.973769999999995,49.046844,41.952461,58.38483000000001,38.207527,30.667741999999997,40.41721,24.949486,28.180791999999997,34.200771,74.326042,51.800636,27.50165,21.745981,40.745585999999996,,23.581035999999997,58.375526,66.527069,105.00014499999999,21.669335999999998,21.392254,31.392104999999997,80.07933,83.243271,28.311146,42.991261,62.50906,35.690979,30.422607,51.971767,21.85807,13.768835000000001,38.252174,56.4561,22.424767000000003,38.119995,42.071243,23.45422,18.779316,24.686273999999997,34.290001000000004,28.689533,19.951944
312,2017-03-29,22.711037,38.533455,12.729933,18.110916,12.934666,26.190001000000002,1148.761841,20.568689000000003,39.148174,19.340231,414.095154,76.099052,71.711807,27.859184000000003,21.582329,21.841217,34.143364,,30.697369000000002,13.507789,23.22,13.003973,10.182704,13.743912,13.640842000000001,15.772998000000001,35.619682,26.585086999999998,22.848122,41.585857,15.869095000000002,33.206833,22.379711,37.987049,30.390234000000003,51.361053000000005,38.995765999999996,32.088642,60.983368000000006,49.037151,41.833534,58.298252000000005,38.274708000000004,30.941914,40.827339,25.08482,28.089708,34.121441,74.306984,51.742256,27.50165,21.745981,40.966614,,23.700735,57.902611,66.696777,105.75898000000001,21.619772,21.392254,31.425924,79.963791,83.349007,28.226606,43.133244,62.260020999999995,35.681896,30.266901,52.310997,21.963663,13.660884,38.30928,56.4561,22.434313,38.166121999999994,42.201896999999995,23.680120000000002,18.779316,24.647106,34.200001,28.543703000000004,19.951944
313,2017-03-30,22.675497,38.473564,12.788733,18.219362,12.934666,26.190001000000002,1173.6053470000002,20.127512,39.615466999999995,18.933173999999998,420.794128,74.97644,71.492935,27.661037,21.496077,21.756119,34.040378999999994,,30.649040000000003,13.526882,23.06,12.926569,10.182704,13.6971,13.621791,15.481426999999998,35.552109,26.441746000000002,22.738276000000003,41.340427000000005,15.830898999999999,33.138512,22.350224,37.705231,30.390234000000003,51.199062,38.961391,32.148125,60.733715000000004,48.765583,41.458473,58.182812,38.073158,30.902744000000002,41.003109,25.046154,28.007734000000003,33.972694,74.402229,51.567122999999995,27.244179,21.745981,40.687931,,23.870312,57.104565,65.728424,107.27668,21.748638,21.087488,31.309975,79.472748,83.137535,28.123283,43.019661,62.907524,35.273224,29.644077000000003,52.680156999999994,21.906067,13.729579999999999,38.090374,55.731049,22.413308999999998,38.000057,41.987246999999996,23.680120000000002,18.759995999999997,24.372920999999998,33.599998,28.543703000000004,19.884928
314,2017-03-31,22.64884,38.533455,12.808330999999999,18.140491,12.967447,26.190001000000002,1203.41748,19.607903,39.297989,19.290589999999998,430.470367,73.18821,71.264099,27.552057,21.352322,21.642656,34.059101,,30.620046999999996,13.498242999999999,23.14,12.839489,10.182704,13.566026999999998,13.497956,15.584888000000001,35.49419,26.336626000000003,22.747429,41.379696,15.659035999999999,33.177555,22.428852,37.40398,30.390234000000003,50.979896999999994,38.608067,32.048996,60.43605,48.426128000000006,41.458473,57.730658999999996,37.804428,30.834206,40.993342999999996,24.930153,27.761812,33.873543,74.278412,51.09037,27.406288,22.713064000000003,40.687931,,24.029915,56.306521999999994,64.849915,109.073936,21.897327,21.087488,30.995959999999997,79.000946,82.724197,27.606653,42.953403,63.903687,35.591084,30.003396999999996,52.839794,21.790874,13.759022,37.804836,56.505085,22.179367000000003,37.68639,41.88459,23.699764000000002,18.838243,24.607937,33.759997999999996,28.290932,19.760468
315,2017-04-03,22.559097,38.563408,12.916129,18.475695,12.962764,26.190001000000002,1179.567749,20.029472,39.278145,19.399803,421.78655999999995,74.59893000000001,73.174301,27.888904999999998,21.543991000000002,21.888491000000002,34.171448,,30.774693,13.555520000000001,23.33,12.955596,10.164072,13.640925,13.545585,15.904673999999998,35.436271999999995,26.489525,23.022045000000002,41.605492,15.725872,33.441093,22.59594,37.627491,30.352116,51.332466,38.768494,32.366211,60.87775,48.833473,41.806095,58.115471,38.015572,31.157333,41.59877,25.268486,27.971302,34.131355,74.640327,51.674152,27.47304,22.766794,41.101151,,23.98004,56.907516,65.488831,107.59619099999999,21.768461,21.087488,31.242341999999997,79.82899499999999,83.425911,27.597265000000004,43.22789,63.056945999999996,35.727306,30.063285999999998,53.71779599999999,22.098057,13.759022,38.099888,55.848620999999994,22.214699,37.861678999999995,42.033909,23.955128,18.905865,24.696066000000002,33.779999,28.432872999999997,19.894503
316,2017-04-04,22.641733,38.543442,12.906329,18.426401000000002,12.962764,26.190001000000002,1171.617798,20.11771,38.990433,19.479226999999998,421.29034400000006,74.65853100000001,72.696747,27.710572999999997,21.745248999999998,22.020863000000002,34.293152,,30.523394,13.555520000000001,23.19,12.984623,10.164072,13.631564000000001,13.631317000000001,16.262082999999997,35.629337,26.565973,22.994587,41.320789000000005,15.706775,32.992092,22.566451999999998,37.72467,30.352116,51.351524,38.961391,32.296818,60.791328,48.852871,42.016498999999996,58.115471,38.034771,31.059412,41.462063,25.577814,27.989519,34.666828,74.640327,51.567122999999995,27.492113,22.974982999999998,40.6591,,23.830412,57.488808,65.788322,107.076973,21.748638,21.382483999999998,31.295481,79.857872,83.35862,27.634836,43.445602,62.957333,35.772713,30.073265000000003,53.588089000000004,22.347645,13.896416,38.185547,55.85842099999999,22.359837,37.944706,42.108565999999996,23.876556,18.99184,24.764612,33.919998,28.432872999999997,19.951944
317,2017-04-05,22.702151999999998,38.623302,12.994528,18.534848999999998,13.000229,26.190001000000002,1163.6678470000002,20.264769,38.692795000000004,19.806862,425.75631699999997,73.913445,71.811295,27.690762,21.745248999999998,21.879034,34.236979999999996,,30.465403000000002,13.603251,23.21,12.955596,10.164072,13.575389999999999,13.697996,16.393759,35.368702,26.575530999999998,23.12274,41.350243,15.611294000000001,32.943287,22.527138,37.802409999999995,30.581781,51.265762,38.951836,32.138206,60.762519999999995,48.881969,42.126274,58.125088,37.919598,30.971287,41.59877,25.287815,27.770924,35.122971,74.011742,51.586586,27.730511,23.398085000000002,40.409240999999994,,23.790512,57.360729000000006,65.968018,106.63765,21.837851999999998,21.382483999999998,31.314808000000003,80.021561,83.416298,27.334253000000004,43.436134,63.405605,36.08149,30.602268,54.007141000000004,22.136454,13.739394,38.118927,55.85842099999999,22.209925,37.815548,41.847256,23.856911,18.99184,24.970249,34.459998999999996,28.432872999999997,19.923222
318,2017-04-06,22.480017,39.062542,13.180723,18.554567000000002,13.000229,26.190001000000002,1179.567749,20.000059,38.663033,19.796932,427.741211,73.54586,74.41791500000001,27.809647,21.745248999999998,21.784489,34.255707,,30.639378000000004,13.507789,23.21,12.907217999999999,10.164072,13.575389999999999,13.602739000000001,16.026945,35.243206,26.460857,23.12274,41.153896,15.515812,33.216599,22.743366,37.627491,30.476004,51.18,38.856346,32.504996999999996,60.70490600000001,48.872269,42.117123,58.038509,37.852421,31.333584000000002,41.930775,25.374819,27.707163,35.063477,73.726021,51.353069,27.740046999999997,23.324209,40.70715,,23.960086999999998,56.848404,65.039597,107.676064,21.86759,21.626688,31.150553000000002,79.886772,83.425911,27.277896999999996,43.332008,63.604831999999995,36.072414,30.492473999999998,54.466094999999996,22.146055,13.700138,38.052299,56.4561,22.238569000000002,37.68639,41.837925,24.141741,18.99184,24.921289,34.490002000000004,28.652588,19.913649
319,2017-04-07,22.417820000000003,39.172356,13.219923000000001,18.357389,13.01896,26.190001000000002,1178.573975,19.980452,38.67791,19.737364000000003,429.72604400000006,73.198151,74.0896,27.809647,21.869835000000002,21.680479000000002,34.218253999999995,,30.668371,13.593704999999998,23.19,12.878192,10.331764999999999,13.575389999999999,13.726574,16.158623000000002,35.339741,26.546862,23.168509,41.330608000000005,15.5731,33.275166,22.772852,37.646927000000005,30.342588,51.170475,38.692101,32.465340000000005,60.628085999999996,48.872269,42.08968,57.961543999999996,37.785236,31.294415,41.940548,25.36515,27.807356,35.559284000000005,74.411751,51.177937,27.730511,23.169744,40.6591,,23.840387,57.006042,64.800003,107.556252,21.897327,21.626688,31.189199,79.954163,83.37784599999999,27.315465999999997,43.350941,63.804072999999995,36.108738,30.612249,54.326412,22.107657999999997,13.896416,38.042782,56.838223,22.104891000000002,37.52956,41.837925,24.122099,18.99184,24.911497,34.66,28.738142,19.904078
320,2017-04-10,22.391165,39.122440000000005,13.219923000000001,18.534848999999998,12.897202,26.190001000000002,1199.442627,19.686335,39.010273,19.45937,435.92880199999996,72.204697,72.666901,27.916645000000003,21.697329999999997,21.519743,34.105911,,30.881014,13.670074,23.07,12.800786,10.303817,13.519214999999999,13.726574,16.262082999999997,35.339741,26.327070000000003,23.003738000000002,41.487682,15.496716000000001,33.470379,22.615595000000003,37.423412,30.266347999999997,50.951313,38.321587,32.257164,60.359233999999994,48.784977000000005,41.961609,57.644077,37.631679999999996,31.098583,41.930775,25.258817999999998,27.71627,35.787354,74.230812,50.983345,27.511184999999998,22.692919,41.091537,,24.039888,56.385338,64.450592,108.754425,22.006370999999998,21.460629,31.121567,79.674942,83.204819,27.080634999999997,43.208960999999995,64.302155,35.818123,30.053304999999998,54.535934,22.050058,13.876789000000002,37.861938,56.573677,22.095341,37.363499,41.576611,23.964951,18.99184,24.705858,34.389998999999996,28.574811999999998,19.856207
321,2017-04-11,22.320082,39.032596999999996,13.161124,18.722170000000002,12.920616,26.190001000000002,1217.329834,19.38241,38.82177,19.628151000000003,437.913696,71.866913,72.88578000000001,27.641223999999998,21.591911,21.604841,33.993572,,30.726366,13.670074,22.76,12.723382,10.303817,13.416229000000001,13.497956,16.111595,35.079109,26.250621999999996,22.848122,41.252071,15.515812,33.138512,22.635254,37.238772999999995,30.266347999999997,50.827434999999994,38.1497,32.376125,60.099971999999994,48.494015000000005,41.7878,57.47091700000001,37.5453,31.147539000000002,42.204201,25.220152,27.825569,35.698109,74.71653,50.662265999999995,27.711439000000002,22.692919,40.726368,,24.309216,55.666115000000005,63.701866,109.91266599999999,22.036108,21.724370999999998,31.087747999999998,79.299438,82.916451,27.268501,43.104847,64.60099,36.036087,30.203021999999997,55.074711,22.002062,13.906229000000002,37.900013,56.51489300000001,21.980759,37.409618,41.623276000000004,24.09263,19.146402,24.852741,34.779999,28.574811999999998,19.827485999999997
322,2017-04-12,22.386720999999998,38.793011,13.180723,18.515133,12.944030999999999,26.190001000000002,1212.361084,19.451038,38.801929,19.677794,431.959045,72.840508,72.06002,27.839369,21.591911,21.538654,33.946758,,30.668371,13.670074,22.81,12.791112,10.303817,13.491128,13.488431,16.01754,35.001884000000004,26.260178000000003,22.921354,41.124443,15.678132000000002,33.109221999999995,22.576280999999998,37.277649,30.209171,51.103771,38.37888,32.24725,60.359233999999994,48.678290999999994,41.687176,57.807625,37.72765,30.981078999999998,41.960075,25.413486,27.925759999999997,35.866684,75.04034399999999,50.993076,27.606544,22.692919,40.663902,,24.039888,55.882866,64.310829,109.47332800000001,21.936979,21.724370999999998,31.179540999999997,79.511253,82.983742,27.559689000000002,43.133244,64.003304,35.999756,30.053304999999998,54.47606999999999,22.213251,13.817905,38.033272,56.51489300000001,22.01895,37.45575,41.753937,23.964951,19.146402,24.872328,34.59,28.582590000000003,19.789189999999998
323,2017-04-13,22.294313,38.763062,13.004328,18.455976,12.944030999999999,26.190001000000002,1222.298462,19.294178,38.752323,19.677794,436.92123399999997,71.926529,70.498039,27.918627,21.831503,21.415735,33.946758,,30.475067,13.880089000000002,22.64,12.771759,10.303817,13.481766,13.602739000000001,16.008135,35.165989,26.231512,22.884739,40.918282,15.639935999999999,33.001853999999994,22.487823000000002,37.180465999999996,30.209171,51.075184,38.53167,32.068813,60.292015,48.464923999999996,41.723763,57.672943000000004,37.564495,30.795038,41.803837,25.142818,27.962194,35.698109,74.907005,51.031994,27.616079,22.565315,40.543777,,24.169563,55.715374,64.390694,110.152298,22.016281,21.724370999999998,31.015284,79.30905899999999,82.637695,27.597265000000004,43.000729,64.50138100000001,36.008839,30.332775,54.775391000000006,21.982862,13.788464000000001,37.833389000000004,56.093571,22.0285,37.428078,41.772597999999995,23.906019,19.146402,24.872328,34.799999,28.582590000000003,19.789189999999998
324,2017-04-17,22.51556,38.93277,13.082726,18.732031,12.812905,26.190001000000002,1202.423828,19.578491,39.119411,19.280663,424.515747,74.022728,71.960533,28.225752000000004,21.831503,21.548109,33.974846,,30.562056,13.775082999999999,22.68,12.839489,10.164072,13.547301999999998,13.602739000000001,15.970512,35.272171,26.432188,22.893892,41.212799,15.706775,33.167789,22.566451999999998,37.374825,30.209171,51.380108,38.646263,32.296818,60.599289,48.833473,41.769501,57.769142,37.957993,31.020245000000003,42.448322,25.104153,28.053276,35.955925,75.240356,51.168213,27.406288,22.511589,40.755196000000005,,24.079786,56.070060999999995,64.95973199999999,108.994064,21.798199,21.392254,31.295481,79.761581,82.906837,27.803913,43.161636,63.25618000000001,35.636494,29.893606,55.962688,21.944466000000002,13.513676,38.157001,56.093571,22.208012,37.704845,42.043240000000004,24.102455,18.846937,24.607937,34.009997999999996,28.572865999999998,19.865779999999997
325,2017-04-18,22.426706,38.473564,12.86713,18.495414999999998,12.747342,26.190001000000002,1267.016724,18.55888,39.41407,19.032457,440.1466980000001,71.270836,68.68734,27.987978000000002,21.611076,21.207727,33.703342,,30.475067,13.698711999999999,22.43,12.771759,9.94048,13.210257999999998,13.22171,15.613105,35.069454,26.059502,22.546043,40.584496,15.601745999999999,32.953049,22.301081,36.733447999999996,30.058601,50.856018,38.312034999999995,31.850728999999998,59.879124,48.164260999999996,41.119995,57.114971,37.478115,30.520868,41.960075,25.036486,27.916653000000004,35.559284000000005,74.67842900000001,50.331459,27.206035999999997,22.377272,40.486121999999995,,24.488764,54.227661,63.641968000000006,112.828224,22.07576,21.392254,30.976637,78.625443,82.08017,27.531509000000003,42.858748999999996,64.800232,35.436695,29.703962,54.785366,21.896467,13.572559,37.709663,56.093571,22.127804,37.262015999999996,41.613941,23.748875,18.741642000000002,24.441465,33.73,28.193711999999998,19.683878
326,2017-04-19,22.213457000000002,38.543442,12.965128,18.603863,12.672413,26.190001000000002,1288.8790279999998,18.225545999999998,39.645229,18.843819,448.58239699999996,69.870056,68.816673,27.952312,21.409822,21.065898999999998,33.197792,,30.494396000000002,13.421875,22.54,12.742734,9.94048,13.228983,13.240761,15.613105,34.779865,26.202842999999998,22.500275,40.820114000000004,15.563552,33.353249,22.242109,36.519657,30.058601,50.617794,38.035109999999996,31.811077,59.600662,48.10606,41.001072,56.922565000000006,37.24778,30.511074,42.282318,24.765821,27.889329999999998,35.03373,73.83078,49.971462,26.996243,22.377272,40.755196000000005,,24.638391,53.469025,62.953140000000005,114.226097,22.214537,21.392254,30.638462,78.519539,81.801407,27.306071999999997,42.659977000000005,65.64696500000001,35.155163,29.614132,55.074711,21.637281,13.631442000000002,37.433643,56.426704,21.980759,36.939121,41.305969,23.748875,18.581285,24.294584,33.209998999999996,28.213156,19.597711999999998
327,2017-04-20,22.506674,39.022614000000004,13.072927,18.791183,12.794172999999999,26.190001000000002,1236.2108150000001,18.931429,39.258305,19.250877,431.46283,72.42325600000001,70.547791,28.542782,21.678165,21.264454,33.516106,,30.716703000000003,13.574613000000001,22.88,12.926569,9.94048,13.378779999999999,13.383648,15.678942999999999,35.011536,26.288846999999997,22.765738,41.723301,15.725872,33.733928999999996,22.330564000000003,37.005547,30.058601,51.065659000000004,38.455273,32.029163,60.311221999999994,48.862572,41.403584,57.701797,37.708458,30.824409000000003,42.829159000000004,25.036486,28.117033000000003,35.519619,74.249847,50.652538,27.31093,22.813805,41.572029,,24.21944,55.035561,64.69019300000001,111.07089199999999,21.946892000000002,21.392254,31.049099,79.674942,82.71459200000001,27.634836,42.962868,63.953487,35.509346,29.988426,56.291934999999995,21.838869,13.562745000000001,37.823871999999994,56.426704,22.150721,37.234337,41.660606,23.964951,18.816027,24.588352,33.369999,28.213156,19.808335999999997
