As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Oct 22, 2008",181.23,29.53,--,"10,181,250.00"
"Oct 21, 2008",185.36,30.20,--,"10,181,250.00"
"Oct 20, 2008",183.88,29.96,--,"10,181,250.00"
"Oct 17, 2008",182.64,29.76,--,"10,443,750.00"
"Oct 16, 2008",186.27,30.35,--,"10,443,750.00"
"Oct 15, 2008",193.45,31.52,--,"10,293,750.00"
"Oct 14, 2008",197.66,32.20,--,"10,293,750.00"
"Oct 13, 2008",193.52,31.53,--,"10,293,750.00"
"Oct 10, 2008",189.13,30.82,--,"10,481,250.00"
"Oct 09, 2008",196.39,32.00,--,"10,668,750.00"
"Oct 08, 2008",197.54,32.19,--,"10,668,750.00"
"Oct 07, 2008",203.52,33.16,--,"10,950,000.00"
"Oct 06, 2008",203.80,33.21,--,"10,950,000.00"
"Oct 03, 2008",208.87,34.03,--,"10,950,000.00"
"Oct 02, 2008",209.86,34.20,--,"10,950,000.00"
"Oct 01, 2008",210.11,34.24,--,"10,950,000.00"
"Sep 30, 2008",210.11,34.24,--,"11,137,500.00"
"Sep 29, 2008",211.00,34.39,--,"11,137,500.00"
"Sep 26, 2008",211.91,34.53,--,"11,137,500.00"
"Sep 25, 2008",213.18,34.74,--,"11,137,500.00"
"Sep 24, 2008",214.44,34.95,--,"11,137,500.00"
"Sep 23, 2008",215.01,35.04,--,"10,950,000.00"
"Sep 22, 2008",214.64,34.98,--,"10,950,000.00"
"Sep 19, 2008",210.17,34.26,--,"10,800,000.00"
"Sep 18, 2008",202.08,32.94,--,"10,950,000.00"
"Sep 17, 2008",205.96,33.57,--,"10,950,000.00"
"Sep 16, 2008",208.48,33.98,--,"11,137,500.00"
"Sep 15, 2008",213.24,34.75,--,"11,137,500.00"
"Sep 12, 2008",214.98,35.04,--,"11,137,500.00"
"Sep 11, 2008",212.11,34.57,--,"11,306,250.00"
"Sep 10, 2008",218.23,35.56,--,"11,531,250.00"
"Sep 09, 2008",220.40,35.92,--,"11,531,250.00"
"Sep 08, 2008",222.99,36.34,--,"11,981,250.00"
"Sep 05, 2008",219.60,35.79,--,"12,450,000.00"
"Sep 04, 2008",224.78,36.63,--,"12,600,000.00"
"Sep 03, 2008",224.17,36.53,--,"12,600,000.00"
"Sep 02, 2008",225.26,36.71,--,"12,600,000.00"
"Aug 29, 2008",230.39,37.55,--,"12,600,000.00"
"Aug 28, 2008",222.64,36.29,--,"12,731,250.00"
"Aug 27, 2008",222.72,36.31,--,"12,806,250.00"
"Aug 26, 2008",223.00,36.35,--,"12,806,250.00"
"Aug 25, 2008",225.62,36.78,--,"12,806,250.00"
"Aug 22, 2008",229.53,37.42,--,"12,806,250.00"
"Aug 21, 2008",225.79,36.81,--,"12,993,750.00"
"Aug 20, 2008",226.63,36.95,--,"13,425,000.00"
"Aug 19, 2008",225.71,36.80,--,"13,612,500.00"
"Aug 18, 2008",229.34,37.39,--,"13,612,500.00"
"Aug 15, 2008",230.39,37.56,--,"13,612,500.00"
"Aug 14, 2008",235.37,38.37,--,"13,575,000.00"
"Aug 13, 2008",237.95,38.79,--,"13,575,000.00"
"Aug 12, 2008",238.91,38.94,--,"13,575,000.00"
"Aug 11, 2008",241.66,39.39,--,"13,518,750.00"
"Aug 08, 2008",240.52,39.21,--,"13,518,750.00"
"Aug 07, 2008",243.91,39.76,--,"13,462,500.00"
"Aug 06, 2008",245.13,39.96,--,"13,462,500.00"
"Aug 05, 2008",244.23,39.81,--,"13,462,500.00"
"Aug 04, 2008",248.93,40.57,--,"13,462,500.00"
"Aug 01, 2008",251.77,41.04,--,"13,462,500.00"
"Jul 31, 2008",252.47,41.15,--,"13,462,500.00"
"Jul 30, 2008",250.91,40.90,--,"13,462,500.00"
"Jul 29, 2008",248.28,40.47,--,"13,462,500.00"
"Jul 28, 2008",248.65,40.53,--,"13,462,500.00"
"Jul 25, 2008",247.16,40.29,--,"13,275,000.00"
"Jul 24, 2008",246.56,40.19,--,"12,975,000.00"
"Jul 23, 2008",246.80,40.23,--,"12,862,500.00"
"Jul 22, 2008",239.49,39.05,--,"12,862,500.00"
"Jul 21, 2008",237.58,38.74,--,"12,975,000.00"
"Jul 18, 2008",238.08,38.82,--,"12,975,000.00"
"Jul 17, 2008",242.99,39.62,--,"12,975,000.00"
"Jul 16, 2008",243.38,39.68,--,"12,843,750.00"
"Jul 15, 2008",245.80,40.08,--,"13,031,250.00"
"Jul 14, 2008",249.47,40.67,--,"13,218,750.00"
"Jul 11, 2008",249.23,40.64,--,"13,406,250.00"
"Jul 10, 2008",245.84,40.09,--,"13,631,250.00"
"Jul 09, 2008",247.59,40.37,--,"13,631,250.00"
"Jul 08, 2008",241.32,39.35,--,"13,762,500.00"
"Jul 07, 2008",242.49,39.54,--,"13,818,750.00"
"Jul 03, 2008",248.32,40.17,--,"13,931,250.00"
"Jul 02, 2008",247.90,40.43,--,"13,987,500.00"
"Jul 01, 2008",253.02,41.26,--,"13,987,500.00"
"Jun 30, 2008",255.81,41.72,--,"14,362,500.00"
"Jun 27, 2008",256.66,41.85,--,"14,606,250.00"
"Jun 26, 2008",260.53,42.49,--,"14,850,000.00"
"Jun 25, 2008",260.89,42.54,0.81,"14,850,000.00"
"Jun 24, 2008",259.84,43.19,--,"15,150,000.00"
"Jun 23, 2008",258.38,42.95,--,"15,243,750.00"
"Jun 20, 2008",260.94,43.37,--,"15,243,750.00"
"Jun 19, 2008",258.24,42.92,--,"15,243,750.00"
"Jun 18, 2008",262.06,43.56,--,"15,450,000.00"
"Jun 17, 2008",266.65,44.32,--,"15,450,000.00"
"Jun 16, 2008",266.91,44.36,--,"15,656,250.00"
"Jun 13, 2008",264.36,43.94,--,"15,656,250.00"
"Jun 12, 2008",262.95,43.71,--,"16,031,250.00"
"Jun 11, 2008",264.08,43.90,--,"16,612,500.00"
"Jun 10, 2008",265.67,44.16,--,"16,987,500.00"
"Jun 09, 2008",266.08,44.23,--,"17,568,750.00"
"Jun 06, 2008",270.20,44.91,--,"18,225,000.00"
"Jun 05, 2008",265.39,44.11,--,"18,693,750.00"
"Jun 04, 2008",274.30,45.60,--,"18,693,750.00"
"Jun 03, 2008",276.93,46.03,--,"18,900,000.00"
"Jun 02, 2008",278.06,46.23,--,"19,200,000.00"
"May 30, 2008",280.18,46.58,--,"19,575,000.00"
"May 29, 2008",275.79,45.84,--,"19,987,500.00"
"May 28, 2008",276.34,45.93,--,"20,793,750.00"
"May 27, 2008",280.02,46.53,--,"20,887,500.00"
"May 23, 2008",281.73,46.83,--,"21,431,250.00"
"May 22, 2008",283.11,47.06,--,"21,768,750.00"
"May 21, 2008",282.76,47.00,--,"21,843,750.00"
"May 20, 2008",282.06,46.84,--,"22,275,000.00"
"May 19, 2008",286.25,47.53,--,"22,275,000.00"
"May 16, 2008",286.25,47.54,--,"22,275,000.00"
"May 15, 2008",281.74,46.79,--,"22,275,000.00"
"May 14, 2008",280.36,46.56,--,"22,275,000.00"
"May 13, 2008",284.77,47.30,--,"22,462,500.00"
"May 12, 2008",286.63,47.61,--,"22,462,500.00"
"May 09, 2008",286.33,47.56,--,"22,462,500.00"
"May 08, 2008",282.94,47.00,--,"22,650,000.00"
"May 07, 2008",288.76,47.96,--,"22,650,000.00"
"May 06, 2008",287.83,47.81,--,"22,687,500.00"
"May 05, 2008",287.44,47.75,--,"22,687,500.00"
"May 02, 2008",285.40,47.41,--,"22,912,500.00"
"May 01, 2008",288.95,48.00,--,"22,912,500.00"
"Apr 30, 2008",288.95,48.00,--,"22,912,500.00"
"Apr 29, 2008",291.33,48.39,--,"23,137,500.00"
"Apr 28, 2008",293.72,48.79,--,"23,137,500.00"
"Apr 25, 2008",291.97,48.51,--,"23,325,000.00"
"Apr 24, 2008",294.70,48.96,--,"23,325,000.00"
"Apr 23, 2008",293.85,48.82,--,"23,531,250.00"
"Apr 22, 2008",292.27,48.56,--,"23,737,500.00"
"Apr 21, 2008",292.88,48.66,--,"24,093,750.00"
"Apr 18, 2008",290.06,48.19,--,"24,093,750.00"
"Apr 17, 2008",286.85,47.66,--,"24,150,000.00"
"Apr 16, 2008",285.65,47.46,--,"24,150,000.00"
"Apr 15, 2008",281.83,46.83,--,"24,150,000.00"
"Apr 14, 2008",280.37,46.59,--,"24,150,000.00"
"Apr 11, 2008",284.74,47.32,--,"24,150,000.00"
"Apr 10, 2008",285.81,47.50,--,"24,150,000.00"
"Apr 09, 2008",278.29,46.25,--,"24,150,000.00"
"Apr 08, 2008",276.65,45.98,--,"24,150,000.00"
"Apr 07, 2008",275.48,45.79,--,"24,150,000.00"
"Apr 04, 2008",275.20,45.74,--,"24,150,000.00"
"Apr 03, 2008",277.01,46.05,--,"24,150,000.00"
"Apr 02, 2008",280.33,46.59,--,"24,150,000.00"
"Apr 01, 2008",282.57,46.96,--,"23,962,500.00"
"Mar 31, 2008",281.42,46.77,--,"23,962,500.00"
"Mar 28, 2008",284.24,47.23,--,"23,962,500.00"
"Mar 27, 2008",282.61,46.94,--,"23,625,000.00"
"Mar 26, 2008",281.87,46.82,--,"23,137,500.00"
"Mar 25, 2008",277.56,46.10,--,"23,212,500.00"
"Mar 24, 2008",269.91,44.84,--,"23,212,500.00"
"Mar 20, 2008",269.78,44.82,--,"23,212,500.00"
"Mar 19, 2008",269.78,44.82,--,"23,325,000.00"
"Mar 18, 2008",268.45,44.60,--,"23,700,000.00"
"Mar 17, 2008",265.75,44.16,--,"23,812,500.00"
"Mar 14, 2008",271.96,45.19,--,"24,712,500.00"
"Mar 13, 2008",273.89,45.51,--,"25,500,000.00"
"Mar 12, 2008",279.04,46.39,--,"26,137,500.00"
"Mar 11, 2008",271.40,45.12,--,"26,775,000.00"
"Mar 10, 2008",263.02,43.73,--,"27,487,500.00"
"Mar 07, 2008",294.38,48.93,--,"27,675,000.00"
"Mar 06, 2008",295.67,49.14,--,"28,031,250.00"
"Mar 05, 2008",289.17,48.07,--,"28,612,500.00"
"Mar 04, 2008",297.07,49.37,--,"28,987,500.00"
"Mar 03, 2008",300.04,49.86,--,"28,987,500.00"
"Feb 29, 2008",306.73,50.97,--,"28,987,500.00"
"Feb 28, 2008",308.61,51.28,--,"28,987,500.00"
"Feb 27, 2008",310.11,51.53,--,"28,987,500.00"
"Feb 26, 2008",308.57,51.27,--,"28,987,500.00"
"Feb 25, 2008",307.15,51.04,--,"28,987,500.00"
"Feb 22, 2008",306.10,50.87,--,"28,987,500.00"
"Feb 21, 2008",311.12,51.70,--,"28,987,500.00"
"Feb 20, 2008",316.80,52.64,--,"28,650,000.00"
"Feb 19, 2008",318.70,52.96,--,"28,050,000.00"
"Feb 15, 2008",318.69,52.96,--,"27,637,500.00"
"Feb 14, 2008",319.69,53.12,--,"26,737,500.00"
"Feb 13, 2008",315.79,52.48,--,"26,362,500.00"
"Feb 12, 2008",313.88,52.16,--,"25,781,250.00"
"Feb 11, 2008",310.81,51.65,--,"25,668,750.00"
"Feb 08, 2008",314.09,52.20,--,"25,668,750.00"
"Feb 07, 2008",314.09,52.20,--,"25,668,750.00"
"Feb 06, 2008",314.09,52.20,--,"25,406,250.00"
"Feb 05, 2008",318.65,52.96,--,"24,862,500.00"
"Feb 04, 2008",314.41,52.26,--,"24,750,000.00"
"Feb 01, 2008",307.73,51.16,--,"24,750,000.00"
"Jan 31, 2008",307.73,51.16,--,"24,750,000.00"
"Jan 30, 2008",305.48,50.78,--,"24,750,000.00"
"Jan 29, 2008",306.75,50.99,--,"24,750,000.00"
"Jan 28, 2008",304.64,50.65,--,"24,750,000.00"
"Jan 25, 2008",310.03,51.54,--,"24,750,000.00"
"Jan 24, 2008",302.22,50.25,--,"24,562,500.00"
"Jan 23, 2008",294.75,49.01,--,"24,562,500.00"
"Jan 22, 2008",293.67,48.83,--,"24,562,500.00"
"Jan 18, 2008",314.86,52.34,--,"24,562,500.00"
"Jan 17, 2008",319.64,53.13,--,"24,037,500.00"
"Jan 16, 2008",318.88,53.01,--,"23,662,500.00"
"Jan 15, 2008",332.13,55.20,--,"22,556,250.00"
"Jan 14, 2008",331.76,55.14,--,"22,087,500.00"
"Jan 11, 2008",333.02,55.35,--,"21,525,000.00"
"Jan 10, 2008",325.55,54.12,--,"21,525,000.00"
"Jan 09, 2008",325.87,54.17,--,"21,525,000.00"
"Jan 08, 2008",325.81,54.16,--,"21,525,000.00"
"Jan 07, 2008",319.52,53.13,--,"21,525,000.00"
"Jan 04, 2008",317.89,52.86,--,"21,525,000.00"
"Jan 03, 2008",310.16,51.58,--,"21,525,000.00"
"Jan 02, 2008",308.01,51.23,--,"21,525,000.00"
"Dec 31, 2007",310.37,51.62,--,"21,525,000.00"
"Dec 28, 2007",309.20,51.42,--,"21,525,000.00"
"Dec 27, 2007",306.09,50.90,--,"21,525,000.00"
"Dec 26, 2007",301.83,50.19,--,"21,525,000.00"
"Dec 24, 2007",301.17,50.08,--,"21,525,000.00"
"Dec 21, 2007",296.38,49.28,--,"21,525,000.00"
"Dec 20, 2007",291.72,48.51,1.62,"21,525,000.00"
"Dec 19, 2007",291.72,50.14,--,"21,525,000.00"
"Dec 18, 2007",291.59,50.12,--,"21,525,000.00"
"Dec 17, 2007",294.29,50.58,--,"21,525,000.00"
"Dec 14, 2007",298.45,51.28,--,"21,525,000.00"
"Dec 13, 2007",300.70,51.68,--,"21,525,000.00"
"Dec 12, 2007",302.29,51.96,--,"21,525,000.00"
"Dec 11, 2007",304.68,52.36,--,"21,525,000.00"
"Dec 10, 2007",302.45,52.00,--,"21,356,250.00"
"Dec 07, 2007",303.46,52.16,--,"21,356,250.00"
"Dec 06, 2007",302.24,51.96,--,"21,356,250.00"
"Dec 05, 2007",300.05,51.56,--,"21,356,250.00"
"Dec 04, 2007",298.17,51.28,--,"21,356,250.00"
"Dec 03, 2007",297.45,51.16,--,"20,906,250.00"
"Nov 30, 2007",291.54,50.16,--,"20,625,000.00"
"Nov 29, 2007",288.19,49.56,--,"20,437,500.00"
"Nov 28, 2007",285.61,49.12,--,"20,156,250.00"
"Nov 27, 2007",285.68,49.16,--,"20,025,000.00"
"Nov 26, 2007",286.79,49.36,--,"20,025,000.00"
"Nov 23, 2007",283.97,48.84,--,"20,025,000.00"
"Nov 21, 2007",283.36,48.76,--,"20,025,000.00"
"Nov 20, 2007",287.94,49.56,--,"20,025,000.00"
"Nov 19, 2007",288.61,49.68,--,"20,025,000.00"
"Nov 16, 2007",289.08,49.76,--,"19,800,000.00"
"Nov 15, 2007",290.94,50.08,--,"19,443,750.00"
"Nov 14, 2007",291.70,50.20,--,"19,275,000.00"
"Nov 13, 2007",291.40,50.16,--,"19,162,500.00"
"Nov 12, 2007",292.32,50.32,--,"19,162,500.00"
"Nov 09, 2007",298.14,51.32,--,"18,843,750.00"
"Nov 08, 2007",301.09,51.80,--,"18,843,750.00"
"Nov 07, 2007",301.09,51.80,--,"18,018,750.00"
"Nov 06, 2007",293.34,50.48,--,"17,887,500.00"
"Nov 05, 2007",290.85,50.08,--,"17,887,500.00"
"Nov 02, 2007",293.71,50.56,--,"17,887,500.00"
"Nov 01, 2007",296.87,51.08,--,"17,887,500.00"
"Oct 31, 2007",299.00,51.48,--,"17,887,500.00"
"Oct 30, 2007",298.75,51.44,--,"17,887,500.00"
"Oct 29, 2007",298.96,51.44,--,"17,887,500.00"
"Oct 26, 2007",294.63,50.72,--,"17,887,500.00"
"Oct 25, 2007",288.52,49.64,--,"17,887,500.00"
"Oct 24, 2007",283.50,48.80,--,"17,887,500.00"
"Oct 23, 2007",283.23,48.76,--,"17,887,500.00"
"Oct 22, 2007",281.68,48.48,--,"17,887,500.00"
"Oct 19, 2007",287.40,49.48,--,"17,887,500.00"
"Oct 18, 2007",287.90,49.56,--,"17,887,500.00"
"Oct 17, 2007",287.21,49.44,--,"17,887,500.00"
"Oct 16, 2007",286.13,49.24,--,"17,887,500.00"
"Oct 15, 2007",287.72,49.52,--,"17,887,500.00"
"Oct 12, 2007",287.63,49.48,--,"17,887,500.00"
"Oct 11, 2007",289.95,49.88,--,"17,887,500.00"
"Oct 10, 2007",288.20,49.60,--,"17,887,500.00"
"Oct 09, 2007",284.81,49.00,--,"17,887,500.00"
"Oct 08, 2007",283.60,48.80,--,"17,887,500.00"
"Oct 05, 2007",284.76,49.00,--,"17,887,500.00"
"Oct 04, 2007",283.41,48.76,--,"17,887,500.00"
"Oct 03, 2007",282.60,48.64,--,"17,887,500.00"
"Oct 02, 2007",282.79,48.68,--,"17,887,500.00"
"Oct 01, 2007",278.74,48.00,--,"17,887,500.00"
"Sep 28, 2007",276.35,47.60,--,"17,887,500.00"
"Sep 27, 2007",275.56,47.44,--,"17,887,500.00"
"Sep 26, 2007",272.11,46.84,--,"17,887,500.00"
"Sep 25, 2007",270.82,46.64,--,"17,887,500.00"
"Sep 24, 2007",272.31,46.88,--,"17,887,500.00"
"Sep 21, 2007",268.57,46.24,--,"17,887,500.00"
"Sep 20, 2007",269.55,46.40,--,"17,193,750.00"
"Sep 19, 2007",265.70,45.76,--,"17,193,750.00"
"Sep 18, 2007",258.85,44.56,--,"17,193,750.00"
"Sep 17, 2007",259.65,44.72,--,"17,193,750.00"
"Sep 14, 2007",262.00,45.12,--,"17,193,750.00"
"Sep 13, 2007",261.27,45.00,--,"17,193,750.00"
"Sep 12, 2007",260.72,44.88,--,"17,193,750.00"
"Sep 11, 2007",258.27,44.48,--,"17,193,750.00"
"Sep 10, 2007",259.06,44.60,--,"17,193,750.00"
"Sep 07, 2007",262.24,45.16,--,"17,193,750.00"
"Sep 06, 2007",261.81,45.08,--,"17,006,250.00"
"Sep 05, 2007",260.97,44.92,--,"16,893,750.00"
"Sep 04, 2007",257.94,44.40,--,"16,893,750.00"
"Aug 31, 2007",254.95,43.88,--,"16,893,750.00"
"Aug 30, 2007",254.81,43.88,--,"16,893,750.00"
"Aug 29, 2007",253.08,43.56,--,"16,893,750.00"
"Aug 28, 2007",256.91,44.20,--,"16,893,750.00"
"Aug 27, 2007",256.64,44.16,--,"16,893,750.00"
"Aug 24, 2007",256.12,44.08,--,"16,893,750.00"
"Aug 23, 2007",259.08,44.60,--,"16,743,750.00"
"Aug 22, 2007",252.66,43.48,--,"16,743,750.00"
"Aug 21, 2007",247.18,42.56,--,"16,893,750.00"
"Aug 20, 2007",250.77,43.16,--,"16,893,750.00"
"Aug 17, 2007",238.30,41.04,--,"17,306,250.00"
"Aug 16, 2007",240.86,41.48,--,"17,700,000.00"
"Aug 15, 2007",250.67,43.16,--,"18,018,750.00"
"Aug 14, 2007",257.85,44.36,--,"18,187,500.00"
"Aug 13, 2007",258.55,44.48,--,"18,431,250.00"
"Aug 10, 2007",257.98,44.40,--,"18,881,250.00"
"Aug 09, 2007",264.02,45.44,--,"18,881,250.00"
"Aug 08, 2007",263.86,45.40,--,"19,275,000.00"
"Aug 07, 2007",259.22,44.60,--,"19,612,500.00"
"Aug 06, 2007",259.40,44.64,--,"20,343,750.00"
"Aug 03, 2007",269.22,46.32,--,"20,512,500.00"
"Aug 02, 2007",268.74,46.24,--,"20,700,000.00"
"Aug 01, 2007",269.54,46.40,--,"20,700,000.00"
"Jul 31, 2007",277.86,47.80,--,"21,000,000.00"
"Jul 30, 2007",272.52,46.88,--,"21,506,250.00"
"Jul 27, 2007",273.98,47.16,--,"22,012,500.00"
"Jul 26, 2007",280.28,48.24,--,"22,012,500.00"
"Jul 25, 2007",281.63,48.48,--,"22,293,750.00"
"Jul 24, 2007",286.78,49.36,--,"22,293,750.00"
"Jul 23, 2007",285.08,49.04,--,"22,650,000.00"
"Jul 20, 2007",284.10,48.88,--,"22,650,000.00"
"Jul 19, 2007",280.54,48.28,--,"22,650,000.00"
"Jul 18, 2007",277.16,47.68,--,"22,800,000.00"
"Jul 17, 2007",280.15,48.20,--,"22,800,000.00"
"Jul 16, 2007",281.75,48.48,--,"22,800,000.00"
"Jul 13, 2007",282.50,48.60,--,"22,800,000.00"
"Jul 12, 2007",277.11,47.68,--,"22,800,000.00"
"Jul 11, 2007",274.99,47.32,--,"22,931,250.00"
"Jul 10, 2007",278.39,47.92,--,"22,931,250.00"
"Jul 09, 2007",280.32,48.24,--,"22,931,250.00"
"Jul 06, 2007",278.91,48.00,--,"22,931,250.00"
"Jul 05, 2007",278.54,47.96,--,"22,931,250.00"
"Jul 03, 2007",279.69,48.16,--,"22,931,250.00"
"Jul 02, 2007",278.77,48.00,--,"22,931,250.00"
"Jun 29, 2007",273.51,47.08,--,"22,931,250.00"
"Jun 28, 2007",271.81,46.80,--,"22,931,250.00"
"Jun 27, 2007",271.70,46.80,--,"22,931,250.00"
"Jun 26, 2007",273.92,47.16,--,"22,931,250.00"
"Jun 25, 2007",276.68,47.64,--,"22,931,250.00"
"Jun 22, 2007",281.60,48.48,--,"22,687,500.00"
"Jun 21, 2007",280.41,48.28,--,"22,537,500.00"
"Jun 20, 2007",283.30,48.76,--,"22,537,500.00"
"Jun 19, 2007",280.57,48.28,--,"22,537,500.00"
"Jun 18, 2007",280.35,48.24,--,"22,537,500.00"
"Jun 15, 2007",274.17,47.20,--,"22,537,500.00"
"Jun 14, 2007",273.46,47.08,--,"22,537,500.00"
"Jun 13, 2007",272.13,46.84,--,"22,650,000.00"
"Jun 12, 2007",276.19,47.56,--,"22,762,500.00"
"Jun 11, 2007",273.59,47.12,--,"22,875,000.00"
"Jun 08, 2007",272.84,46.96,--,"23,175,000.00"
"Jun 07, 2007",279.30,48.08,--,"23,268,750.00"
"Jun 06, 2007",281.37,48.44,--,"23,268,750.00"
"Jun 05, 2007",282.23,48.60,--,"23,268,750.00"
"Jun 04, 2007",280.91,48.36,--,"23,268,750.00"
"Jun 01, 2007",280.70,48.36,--,"23,268,750.00"
"May 31, 2007",277.82,47.88,--,"23,268,750.00"
"May 30, 2007",275.91,47.52,--,"23,268,750.00"
"May 29, 2007",277.99,47.88,--,"23,268,750.00"
"May 25, 2007",276.77,47.68,--,"23,268,750.00"
"May 24, 2007",277.74,47.84,--,"23,268,750.00"
"May 23, 2007",281.23,48.44,--,"23,268,750.00"
"May 22, 2007",285.09,49.08,--,"22,931,250.00"
"May 21, 2007",279.20,48.12,--,"22,931,250.00"
"May 18, 2007",281.00,48.40,--,"22,818,750.00"
"May 17, 2007",281.82,48.52,--,"22,818,750.00"
"May 16, 2007",279.35,48.12,--,"22,818,750.00"
"May 15, 2007",277.64,47.84,--,"22,818,750.00"
"May 14, 2007",280.83,48.36,--,"22,818,750.00"
"May 11, 2007",277.98,47.88,--,"22,968,750.00"
"May 10, 2007",280.18,48.28,--,"22,968,750.00"
"May 09, 2007",277.69,47.84,--,"22,968,750.00"
"May 08, 2007",277.55,47.80,--,"22,968,750.00"
"May 07, 2007",280.10,48.24,--,"22,781,250.00"
"May 04, 2007",278.69,48.00,--,"22,668,750.00"
"May 03, 2007",273.88,47.20,--,"22,556,250.00"
"May 02, 2007",268.13,46.20,--,"22,556,250.00"
"May 01, 2007",268.13,46.20,--,"22,556,250.00"
"Apr 30, 2007",268.13,46.20,--,"22,556,250.00"
"Apr 27, 2007",270.38,46.60,--,"22,368,750.00"
"Apr 26, 2007",268.17,46.20,--,"22,368,750.00"
"Apr 25, 2007",268.17,46.20,--,"22,368,750.00"
"Apr 24, 2007",268.37,46.24,--,"22,368,750.00"
"Apr 23, 2007",269.24,46.40,--,"22,368,750.00"
"Apr 20, 2007",268.50,46.28,--,"22,368,750.00"
"Apr 19, 2007",267.13,46.04,--,"22,087,500.00"
"Apr 18, 2007",272.14,46.88,--,"21,806,250.00"
"Apr 17, 2007",271.78,46.84,--,"21,318,750.00"
"Apr 16, 2007",270.19,46.56,--,"21,318,750.00"
"Apr 13, 2007",265.76,45.80,--,"21,318,750.00"
"Apr 12, 2007",265.05,45.68,--,"21,318,750.00"
"Apr 11, 2007",265.35,45.72,--,"21,131,250.00"
"Apr 10, 2007",265.69,45.80,--,"20,512,500.00"
"Apr 09, 2007",262.66,45.28,--,"20,512,500.00"
"Apr 05, 2007",258.95,44.64,--,"20,381,250.00"
"Apr 04, 2007",256.77,44.28,--,"20,381,250.00"
"Apr 03, 2007",252.94,43.60,--,"20,381,250.00"
"Apr 02, 2007",250.69,43.20,--,"20,381,250.00"
"Mar 30, 2007",251.34,43.32,--,"20,381,250.00"
"Mar 29, 2007",249.10,42.96,--,"20,381,250.00"
"Mar 28, 2007",248.50,42.84,--,"20,381,250.00"
"Mar 27, 2007",251.77,43.40,--,"20,381,250.00"
"Mar 26, 2007",250.71,43.24,--,"20,381,250.00"
"Mar 23, 2007",248.04,42.76,--,"20,381,250.00"
"Mar 22, 2007",244.72,42.20,--,"20,381,250.00"
"Mar 21, 2007",241.35,41.60,--,"20,381,250.00"
"Mar 20, 2007",238.83,41.20,--,"20,381,250.00"
"Mar 19, 2007",235.65,40.64,--,"20,568,750.00"
"Mar 16, 2007",232.89,40.12,--,"20,568,750.00"
"Mar 15, 2007",231.36,39.88,--,"20,568,750.00"
"Mar 14, 2007",228.83,39.44,--,"20,700,000.00"
"Mar 13, 2007",236.52,40.76,--,"20,700,000.00"
"Mar 12, 2007",236.98,40.84,--,"20,700,000.00"
"Mar 09, 2007",234.18,40.36,--,"20,700,000.00"
"Mar 08, 2007",233.48,40.24,--,"20,812,500.00"
"Mar 07, 2007",227.04,39.12,--,"20,812,500.00"
"Mar 06, 2007",221.24,38.16,--,"22,050,000.00"
"Mar 05, 2007",217.09,37.44,--,"22,575,000.00"
"Mar 02, 2007",228.92,39.48,--,"23,737,500.00"
"Mar 01, 2007",232.18,40.04,--,"23,887,500.00"
"Feb 28, 2007",235.71,40.64,--,"24,112,500.00"
"Feb 27, 2007",244.52,42.16,--,"23,831,250.00"
"Feb 26, 2007",252.14,43.48,--,"23,512,500.00"
"Feb 23, 2007",254.44,43.88,--,"23,100,000.00"
"Feb 22, 2007",252.66,43.56,--,"22,631,250.00"
"Feb 21, 2007",253.21,43.64,--,"22,143,750.00"
"Feb 20, 2007",250.37,43.16,--,"22,143,750.00"
"Feb 16, 2007",250.37,43.16,--,"21,618,750.00"
"Feb 15, 2007",249.62,43.04,--,"21,093,750.00"
"Feb 14, 2007",247.40,42.68,--,"20,793,750.00"
"Feb 13, 2007",244.65,42.20,--,"20,493,750.00"
"Feb 12, 2007",244.79,42.20,--,"20,193,750.00"
"Feb 09, 2007",247.03,42.60,--,"19,668,750.00"
"Feb 08, 2007",248.77,42.92,--,"18,993,750.00"
"Feb 07, 2007",248.65,42.88,--,"17,812,500.00"
"Feb 06, 2007",246.52,42.52,--,"17,531,250.00"
"Feb 05, 2007",243.32,41.96,--,"17,268,750.00"
"Feb 02, 2007",239.26,41.28,--,"16,968,750.00"
"Feb 01, 2007",234.52,40.44,--,"16,968,750.00"
"Jan 31, 2007",234.52,40.44,--,"16,518,750.00"
"Jan 30, 2007",232.54,40.12,--,"16,218,750.00"
"Jan 29, 2007",232.19,40.04,--,"16,218,750.00"
"Jan 26, 2007",230.99,39.84,--,"16,218,750.00"
"Jan 25, 2007",233.45,40.28,--,"15,862,500.00"
"Jan 24, 2007",234.46,40.44,--,"15,393,750.00"
"Jan 23, 2007",231.06,39.88,--,"15,093,750.00"
"Jan 22, 2007",228.12,39.36,--,"14,793,750.00"
"Jan 19, 2007",226.22,39.04,--,"14,793,750.00"
"Jan 18, 2007",226.19,39.04,--,"14,793,750.00"
"Jan 17, 2007",224.59,38.76,--,"14,793,750.00"
"Jan 16, 2007",223.31,38.52,--,"14,793,750.00"
"Jan 12, 2007",218.36,37.68,--,"14,793,750.00"
"Jan 11, 2007",214.97,37.08,--,"14,793,750.00"
"Jan 10, 2007",216.61,37.40,--,"14,793,750.00"
"Jan 09, 2007",218.30,37.68,--,"14,793,750.00"
"Jan 08, 2007",216.31,37.32,--,"14,793,750.00"
