As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Dec 19, 2014",410.96,53.09,--,"10,087,500.00"
"Dec 18, 2014",408.10,52.73,--,"10,575,000.00"
"Dec 17, 2014",401.08,51.82,1.12,"11,081,250.00"
"Dec 16, 2014",397.93,52.52,--,"11,793,750.00"
"Dec 15, 2014",402.42,53.12,--,"11,906,250.00"
"Dec 12, 2014",411.25,54.27,--,"12,018,750.00"
"Dec 11, 2014",414.55,54.68,--,"12,018,750.00"
"Dec 10, 2014",420.80,55.51,--,"12,018,750.00"
"Dec 09, 2014",414.77,54.72,--,"12,018,750.00"
"Dec 08, 2014",414.09,54.62,--,"12,206,250.00"
"Dec 05, 2014",417.91,55.13,--,"12,206,250.00"
"Dec 04, 2014",419.65,55.36,--,"12,206,250.00"
"Dec 03, 2014",422.55,55.76,--,"12,206,250.00"
"Dec 02, 2014",431.54,56.94,--,"12,206,250.00"
"Dec 01, 2014",427.64,56.44,--,"12,206,250.00"
"Nov 28, 2014",445.84,58.82,--,"12,206,250.00"
"Nov 26, 2014",454.82,60.02,--,"12,206,250.00"
"Nov 25, 2014",453.17,59.80,--,"12,206,250.00"
"Nov 24, 2014",452.73,59.75,--,"12,206,250.00"
"Nov 21, 2014",445.60,58.80,--,"12,206,250.00"
"Nov 20, 2014",447.21,59.01,--,"12,206,250.00"
"Nov 19, 2014",448.52,59.18,--,"12,206,250.00"
"Nov 18, 2014",448.01,59.11,--,"12,206,250.00"
"Nov 17, 2014",446.62,58.91,--,"12,206,250.00"
"Nov 14, 2014",448.62,59.19,--,"12,206,250.00"
"Nov 13, 2014",450.48,59.43,--,"12,206,250.00"
"Nov 12, 2014",450.94,59.49,--,"12,206,250.00"
"Nov 11, 2014",451.86,59.60,--,"12,206,250.00"
"Nov 10, 2014",455.17,60.03,--,"12,206,250.00"
"Nov 07, 2014",452.28,59.66,--,"12,206,250.00"
"Nov 06, 2014",455.93,60.14,--,"12,206,250.00"
"Nov 05, 2014",455.99,60.17,--,"12,206,250.00"
"Nov 04, 2014",460.42,60.75,--,"12,206,250.00"
"Nov 03, 2014",463.82,61.21,--,"12,206,250.00"
"Oct 31, 2014",468.09,61.75,--,"12,206,250.00"
"Oct 30, 2014",464.86,61.32,--,"12,206,250.00"
"Oct 29, 2014",465.76,61.45,--,"12,206,250.00"
"Oct 28, 2014",461.44,60.88,--,"12,206,250.00"
"Oct 27, 2014",461.27,60.85,--,"12,206,250.00"
"Oct 24, 2014",459.76,60.66,--,"12,206,250.00"
"Oct 23, 2014",458.00,60.44,--,"12,206,250.00"
"Oct 22, 2014",455.54,60.13,--,"12,206,250.00"
"Oct 21, 2014",455.54,60.13,--,"12,206,250.00"
"Oct 20, 2014",456.03,60.20,--,"12,206,250.00"
"Oct 17, 2014",451.66,59.62,--,"12,206,250.00"
"Oct 16, 2014",444.64,58.70,--,"12,206,250.00"
"Oct 15, 2014",450.53,59.47,--,"12,206,250.00"
"Oct 14, 2014",454.72,60.01,--,"12,206,250.00"
"Oct 13, 2014",455.56,60.12,--,"12,206,250.00"
"Oct 10, 2014",459.55,60.64,--,"12,206,250.00"
"Oct 09, 2014",466.96,61.60,--,"12,206,250.00"
"Oct 08, 2014",461.77,60.91,--,"12,206,250.00"
"Oct 07, 2014",466.15,61.48,--,"12,206,250.00"
"Oct 06, 2014",468.62,61.81,--,"12,206,250.00"
"Oct 03, 2014",468.62,61.81,--,"12,206,250.00"
"Oct 02, 2014",469.08,61.87,--,"12,206,250.00"
"Oct 01, 2014",467.84,61.70,--,"12,206,250.00"
"Sep 30, 2014",467.37,61.63,--,"12,037,500.00"
"Sep 29, 2014",467.46,61.64,--,"12,037,500.00"
"Sep 26, 2014",468.95,61.84,--,"12,037,500.00"
"Sep 25, 2014",469.91,61.96,--,"12,037,500.00"
"Sep 24, 2014",469.56,61.91,--,"12,037,500.00"
"Sep 23, 2014",469.44,61.90,--,"12,037,500.00"
"Sep 22, 2014",471.21,62.13,--,"12,187,500.00"
"Sep 19, 2014",473.42,62.43,--,"12,187,500.00"
"Sep 18, 2014",473.01,62.39,--,"12,187,500.00"
"Sep 17, 2014",473.97,62.52,--,"12,187,500.00"
"Sep 16, 2014",473.57,62.47,--,"12,187,500.00"
"Sep 15, 2014",473.57,62.47,--,"12,187,500.00"
"Sep 12, 2014",480.70,63.42,--,"12,187,500.00"
"Sep 11, 2014",483.91,63.83,--,"12,187,500.00"
"Sep 10, 2014",483.51,63.78,--,"12,187,500.00"
"Sep 09, 2014",485.60,64.06,--,"12,187,500.00"
"Sep 08, 2014",487.93,64.36,--,"12,187,500.00"
"Sep 05, 2014",486.13,64.12,--,"12,187,500.00"
"Sep 04, 2014",486.27,64.15,--,"12,187,500.00"
"Sep 03, 2014",484.87,63.97,--,"12,187,500.00"
"Sep 02, 2014",485.73,64.08,--,"12,187,500.00"
"Aug 29, 2014",489.06,64.53,--,"12,187,500.00"
"Aug 28, 2014",492.10,64.93,--,"12,187,500.00"
"Aug 27, 2014",491.85,64.90,--,"12,187,500.00"
"Aug 26, 2014",487.18,64.27,--,"12,187,500.00"
"Aug 25, 2014",486.86,64.23,--,"12,187,500.00"
"Aug 22, 2014",489.67,64.59,--,"12,187,500.00"
"Aug 21, 2014",488.34,64.42,--,"12,187,500.00"
"Aug 20, 2014",490.09,64.66,--,"12,187,500.00"
"Aug 19, 2014",490.06,64.65,--,"12,187,500.00"
"Aug 18, 2014",487.55,64.31,--,"12,187,500.00"
"Aug 15, 2014",488.55,64.45,--,"12,187,500.00"
"Aug 14, 2014",483.75,63.81,--,"12,187,500.00"
"Aug 13, 2014",480.94,63.45,--,"12,187,500.00"
"Aug 12, 2014",479.09,63.21,--,"12,187,500.00"
"Aug 11, 2014",478.36,63.12,--,"12,187,500.00"
"Aug 08, 2014",474.34,62.59,--,"12,187,500.00"
"Aug 07, 2014",480.41,63.39,--,"12,187,500.00"
"Aug 06, 2014",482.72,63.69,--,"12,187,500.00"
"Aug 05, 2014",486.00,64.14,--,"12,187,500.00"
"Aug 04, 2014",483.55,63.81,--,"12,187,500.00"
"Aug 01, 2014",478.41,63.12,--,"12,337,500.00"
"Jul 31, 2014",483.10,63.74,--,"12,337,500.00"
"Jul 30, 2014",486.89,64.23,--,"12,506,250.00"
"Jul 29, 2014",487.94,64.36,--,"12,506,250.00"
"Jul 28, 2014",487.94,64.37,--,"12,506,250.00"
"Jul 25, 2014",487.94,64.37,--,"12,506,250.00"
"Jul 24, 2014",487.81,64.35,--,"12,506,250.00"
"Jul 23, 2014",487.98,64.38,--,"12,506,250.00"
"Jul 22, 2014",486.45,64.18,--,"12,506,250.00"
"Jul 21, 2014",486.03,64.11,--,"12,506,250.00"
"Jul 18, 2014",485.71,64.07,--,"12,506,250.00"
"Jul 17, 2014",489.87,64.61,--,"12,506,250.00"
"Jul 16, 2014",488.92,64.49,--,"12,506,250.00"
"Jul 15, 2014",489.27,64.56,--,"12,506,250.00"
"Jul 14, 2014",489.27,64.56,--,"12,506,250.00"
"Jul 11, 2014",487.94,64.39,--,"12,506,250.00"
"Jul 10, 2014",491.39,64.84,--,"12,506,250.00"
"Jul 09, 2014",491.81,64.90,--,"12,506,250.00"
"Jul 08, 2014",492.29,64.96,--,"12,506,250.00"
"Jul 07, 2014",489.47,64.59,--,"12,506,250.00"
"Jul 03, 2014",486.48,64.21,--,"12,356,250.00"
"Jul 02, 2014",485.00,64.01,--,"12,356,250.00"
"Jul 01, 2014",482.55,63.68,--,"12,356,250.00"
"Jun 30, 2014",482.69,63.71,--,"12,356,250.00"
"Jun 27, 2014",481.95,63.60,--,"12,356,250.00"
"Jun 26, 2014",483.47,63.78,--,"12,356,250.00"
"Jun 25, 2014",481.93,63.57,1.06,"12,318,750.00"
"Jun 24, 2014",484.32,64.94,--,"12,318,750.00"
"Jun 23, 2014",481.61,64.58,--,"12,318,750.00"
"Jun 20, 2014",481.74,64.58,--,"12,318,750.00"
"Jun 19, 2014",482.19,64.63,--,"12,318,750.00"
"Jun 18, 2014",477.84,64.03,--,"12,318,750.00"
"Jun 17, 2014",478.84,64.19,--,"12,318,750.00"
"Jun 16, 2014",477.41,64.01,--,"12,318,750.00"
"Jun 13, 2014",479.47,64.29,--,"12,318,750.00"
"Jun 12, 2014",480.42,64.42,--,"12,318,750.00"
"Jun 11, 2014",481.04,64.50,--,"12,318,750.00"
"Jun 10, 2014",481.39,64.55,--,"12,318,750.00"
"Jun 09, 2014",479.18,64.25,--,"12,318,750.00"
"Jun 06, 2014",477.23,64.00,--,"12,318,750.00"
"Jun 05, 2014",476.79,63.92,--,"12,300,000.00"
"Jun 04, 2014",474.58,63.61,--,"12,300,000.00"
"Jun 03, 2014",477.74,64.04,--,"12,300,000.00"
"Jun 02, 2014",475.55,63.75,--,"12,300,000.00"
"May 30, 2014",478.97,64.18,--,"12,300,000.00"
"May 29, 2014",481.54,64.45,--,"12,112,500.00"
"May 28, 2014",479.34,64.17,--,"12,112,500.00"
"May 27, 2014",479.12,64.14,--,"12,112,500.00"
"May 23, 2014",480.50,64.32,--,"12,112,500.00"
"May 22, 2014",482.07,64.53,--,"12,112,500.00"
"May 21, 2014",481.70,64.47,--,"12,112,500.00"
"May 20, 2014",481.39,64.43,--,"12,112,500.00"
"May 19, 2014",484.29,64.81,--,"12,112,500.00"
"May 16, 2014",480.07,64.25,--,"12,112,500.00"
"May 15, 2014",480.34,64.29,--,"12,112,500.00"
"May 14, 2014",481.16,64.39,--,"12,112,500.00"
"May 13, 2014",475.02,63.58,--,"12,112,500.00"
"May 12, 2014",475.02,63.58,--,"12,112,500.00"
"May 09, 2014",476.41,63.77,--,"12,112,500.00"
"May 08, 2014",474.09,63.46,--,"12,112,500.00"
